내가	100000	ko
don	100000	en
know	93597	en
all	85236	en
just	80179	en
there	75710	en
here	75471	en
like	71730	en
거야	69427	ko
get	69330	en
right	61963	en
out	60356	en
about	59811	en
그래	58925	ko
now	55278	en
one	54439	en
있어	53589	ko
come	52996	en
well	51937	en
how	51467	en
yeah	48108	en
got	47332	en
want	46910	en
우리	45692	ko
think	44232	en
see	42838	en
good	41882	en
why	41426	en
무슨	41355	ko
let	41005	en
어떻게	39524	ko
yes	39292	en
그냥	38639	ko
정말	37581	ko
when	36832	en
그럼	36830	ko
going	36568	en
있어요	35026	ko
time	34956	en
okay	34359	en
back	33785	en
제가	33318	ko
look	32425	en
우리가	31908	ko
where	31794	en
이제	31660	ko
take	31554	en
지금	31305	ko
그게	31215	ko
then	30671	en
아니	29838	ko
네가	29742	ko
없어	29469	ko
gonna	28571	en
tell	28285	en
really	28247	en
man	28220	en
some	28059	en
say	27747	en
우린	27637	ko
hey	27636	en
좋아	26913	ko
당신이	26755	ko
didn	26466	en
다른	25255	ko
need	25011	en
something	24975	en
too	24588	en
more	24296	en
그건	24190	ko
너무	24069	ko
way	24050	en
down	23540	en
그렇게	23474	ko
다시	23444	ko
이건	23258	ko
make	23177	en
very	22739	en
나도	22517	ko
never	22383	en
당신	22323	ko
거예요	22170	ko
당신은	21773	ko
only	21337	en
people	21302	en
over	21180	en
because	21163	en
좋은	20994	ko
little	20908	en
please	20249	en
love	19966	en
mean	19748	en
said	19690	en
sorry	19670	en
give	19523	en
off	19221	en
하고	18866	ko
아냐	18816	ko
나는	18778	ko
아니야	18660	ko
알아	18652	ko
thank	18601	en
같이	18564	ko
any	18466	en
two	18384	en
이게	18125	ko
even	17903	en
없어요	17801	ko
much	17760	en
doing	17605	en
괜찮아	17072	ko
sure	17058	en
오늘	16987	ko
thing	16772	en
말이야	16504	ko
help	16021	en
누가	15992	ko
first	15783	en
into	15768	en
아주	15690	ko
아직	15569	ko
anything	15394	en
still	15378	en
안돼	15203	ko
진짜	15125	ko
find	15065	en
모두	15029	ko
life	15019	en
nothing	14966	en
sir	14896	en
day	14852	en
여기서	14803	ko
god	14714	en
work	14708	en
어서	14700	ko
그는	14678	ko
위해	14665	ko
해요	14642	ko
일이	14615	ko
하지	14492	ko
엄마	14391	ko
again	14187	en
바로	14140	ko
maybe	13972	en
must	13969	en
근데	13936	ko
before	13913	en
알고	13904	ko
other	13879	en
이렇게	13858	ko
wait	13820	en
stop	13802	en
빨리	13786	ko
call	13778	en
after	13772	en
있습니다	13753	ko
won	13745	en
talk	13635	en
away	13568	en
이거	13499	ko
than	13490	en
전에	13482	ko
thought	13430	en
home	13391	en
night	13377	en
아뇨	13308	ko
put	13279	en
계속	13208	ko
닥터	13157	ko
얼마나	13150	ko
great	13123	en
알았어	13107	ko
않아	13082	ko
제발	13019	ko
있지	12901	ko
겁니다	12718	ko
last	12681	en
어디	12615	ko
사람이	12615	ko
그가	12577	ko
better	12511	en
everything	12499	en
안녕	12469	ko
told	12454	en
좋아요	12446	ko
new	12227	en
같아	12220	ko
우리는	12215	ko
things	12110	en
always	12105	en
그래요	12047	ko
keep	11984	en
당신을	11977	ko
long	11933	en
그걸	11869	ko
years	11586	en
아니에요	11580	ko
있을	11565	ko
때문에	11552	ko
대해	11552	ko
leave	11500	en
아빠	11434	ko
money	11341	en
around	11336	en
doesn	11326	en
사람	11165	ko
했어	11042	ko
뭐야	10997	ko
name	10954	en
수도	10838	ko
많이	10750	ko
집에	10708	ko
거지	10708	ko
일을	10708	ko
place	10697	en
저는	10695	ko
ever	10678	en
feel	10676	en
guys	10634	en
그렇지	10610	ko
함께	10600	ko
father	10521	en
guy	10480	en
made	10433	en
old	10385	en
만약	10354	ko
isn	10328	en
하나	10283	ko
고마워요	10105	ko
항상	10077	ko
big	10032	en
나한테	9992	ko
lot	9898	en
잠깐	9874	ko
done	9829	en
가서	9798	ko
가장	9776	ko
hello	9751	en
nice	9750	en
돼요	9733	ko
거죠	9720	ko
believe	9711	en
girl	9680	en
가자	9678	ko
맞아	9647	ko
someone	9646	en
fine	9631	en
보고	9630	ko
thanks	9514	en
wanted	9438	en
kind	9431	en
그거	9429	ko
말을	9424	ko
괜찮아요	9389	ko
coming	9376	en
house	9344	en
every	9342	en
through	9333	en
아무도	9328	ko
안녕하세요	9276	ko
course	9181	en
몰라	9153	ko
stay	9106	en
left	9103	en
dad	9102	en
많은	9082	ko
enough	9064	en
happened	9034	en
came	9005	en
당신의	8972	ko
mother	8965	en
아무것도	8941	ko
그러니까	8924	ko
wrong	8919	en
world	8912	en
bad	8897	en
알아요	8891	ko
그의	8879	ko
뭐가	8871	ko
three	8815	en
today	8810	en
고마워	8808	ko
그만	8806	ko
listen	8795	en
another	8787	en
했어요	8783	ko
understand	8781	en
젠장	8778	ko
사람들이	8735	ko
hear	8672	en
remember	8615	en
거에요	8524	ko
ask	8520	en
이걸	8502	ko
그럴	8497	ko
것도	8497	ko
말이	8494	ko
own	8477	en
이미	8426	ko
그를	8374	ko
same	8372	en
뭔가	8359	ko
show	8353	en
이봐	8203	ko
else	8193	en
아니면	8183	ko
같아요	8173	ko
kill	8163	en
그런데	8150	ko
아니라	8132	ko
talking	8118	en
found	8112	en
세상에	8090	ko
있다고	8082	ko
next	8069	en
있고	8037	ko
뭐라고	8034	ko
절대	7982	ko
말야	7974	ko
getting	7963	en
care	7958	en
car	7941	en
당장	7911	ko
looking	7852	en
son	7839	en
try	7833	en
woman	7807	en
그래도	7806	ko
대한	7793	ko
말은	7781	ko
went	7738	en
전부	7640	ko
dead	7636	en
그녀는	7620	ko
니가	7615	ko
many	7570	en
않아요	7552	ko
mind	7524	en
wasn	7508	en
자기	7504	ko
있죠	7502	ko
하면	7502	ko
가지고	7449	ko
friend	7411	en
best	7383	en
그들이	7379	ko
mom	7337	en
hell	7316	en
morning	7299	en
trying	7292	en
boy	7274	en
together	7271	en
yourself	7262	en
너도	7228	ko
됐어	7208	ko
미안해	7195	ko
job	7187	en
saw	7165	en
것을	7102	ko
여긴	7097	ko
아무	7090	ko
family	7082	en
real	7082	en
사람은	6987	ko
감사합니다	6987	ko
without	6985	en
baby	6985	en
다들	6979	ko
room	6978	en
어때	6942	ko
wouldn	6935	en
already	6921	en
엄마가	6901	ko
나를	6859	ko
이젠	6856	ko
아마	6846	ko
그들은	6826	ko
move	6824	en
얘기	6823	ko
있잖아	6806	ko
most	6805	en
저도	6796	ko
seen	6791	en
지금은	6776	ko
그녀가	6763	ko
live	6758	en
miss	6755	en
actually	6723	en
시간	6675	ko
먼저	6670	ko
우릴	6635	ko
말고	6627	ko
huh	6604	en
shit	6572	en
사람을	6537	ko
수가	6522	ko
both	6509	en
봐요	6489	ko
heard	6488	en
once	6485	en
있는데	6437	ko
ready	6426	en
head	6416	en
알았어요	6409	ko
해야	6391	ko
있었어	6381	ko
우리의	6364	ko
called	6362	en
않을	6359	ko
used	6337	en
idea	6326	en
knew	6323	en
방금	6308	ko
hold	6308	en
happy	6303	en
door	6278	en
such	6278	en
완전	6266	ko
fuck	6254	en
brother	6249	en
also	6247	en
pretty	6240	en
bit	6226	en
took	6223	en
haven	6215	en
동안	6205	ko
yet	6202	en
시간이	6195	ko
men	6187	en
whole	6182	en
start	6165	en
use	6157	en
while	6155	en
싶어	6140	ko
since	6118	en
일은	6110	ko
wife	6108	en
친구	6100	ko
들어	6090	ko
days	6087	en
안에	6062	ko
자네	6027	ko
guess	6019	en
tomorrow	5981	en
matter	5958	en
meet	5950	en
bring	5947	en
tonight	5927	en
everyone	5916	en
합니다	5901	ko
사실	5896	ko
한번	5889	ko
run	5872	en
wanna	5845	en
hard	5840	en
대체	5821	ko
같은데	5816	ko
alone	5782	en
